time,sex,country_code,age_group,activity_rate,employment,employment_pop_rate,informal_employment,informal_employment_rate,labor_force_pop,longterm_ue,NEETrate,unemployment,unemployment_rate,working_age_pop,Registered Jobseeker
2016,Male,MKD,15 - 64,77.79,433.351,58.64,,,574.88,115.817,,141.529,24.62,739.061,
2016,Male,MKD,15+,67.58,439.704,51.12,84.078,19.2,581.279,115.863,,141.574,24.36,860.18,
2016,Male,MNE,15 - 24,35.75,10.022,22.56,,,15.885,3.359,18.7,5.862,36.91,44.434,
2016,Male,MNE,15 - 64,70.2,120.8,57.3,,,148.1,20.7,,27.3,18.5,210.8,
2016,Male,SRB,15 - 24,36.79,97.162,24.95,43.21,44.5,143.257,24.754,17.5,46.095,32.18,389.434,
2016,Male,SRB,15 - 64,73.09,1443.733,61.9,,,1704.786,170.084,,261.053,15.31,2332.327,
2016,Male,SRB,15+,61.79,1531.557,52.77,358.715,23.4,1793.22,170.508,,261.663,14.59,2902.212,
2016,Total,ALB,15 - 24,31.65,89.473,20.06,51.939,58.1,141.153,27.259,27.4,51.68,36.61,446.003,
2016,Total,ALB,15 - 64,66.02,1114.176,55.59,,,1323.343,138.897,,209.167,15.81,2004.402,
2016,Total,BIH,15 - 24,30.21,51.191,13.8,13.479,26.3,112.047,38.156,27,60.856,54.31,370.932,
2016,Total,BIH,15 - 64,54.03,780.574,40.11,,,1051.494,211.608,,270.921,25.77,1946.263,
2016,Total,KOS,15 - 24,21.22,34.873,10.11,,,73.206,,,38.332,52.36,344.961,
2016,Total,KOS,15 - 64,38.65,331.761,28.01,,,457.832,82.514,,126.07,27.54,1184.528,
2016,Total,KOS,15+,34.1,334.158,24.7,,,460.722,,,126.564,27.5,1350.52,
2016,Total,MKD,15 - 24,31.32,44.492,16.21,14.144,32.2,85.942,28.137,25,41.45,48.23,274.434,
2016,Total,MKD,15 - 64,64.51,713.974,49.05,,,938.91,180.921,,224.937,23.96,1455.514,
2016,Total,MNE,15 - 24,32.75,18.045,20.99,,,28.159,5.737,18.4,10.113,35.92,85.987,
2016,Total,MNE,15 - 64,63.4,219.2,52,,,267.5,36.3,,48.2,18,421.8,
2016,Total,SRB,15 - 24,30.31,149.257,19.72,64.288,43.1,229.405,39.721,18.1,80.148,34.94,756.851,
2016,Total,SRB,15 - 64,65.6,2579.482,55.15,,,3068.019,318.119,,488.538,15.92,4676.95,
2016,Total,SRB,15+,53.33,2719.403,45.19,657.458,24.2,3209.016,318.741,,489.613,15.26,6017.648,
2017,Female,ALB,15 - 24,24.52,35.446,17.71,13.764,38.8,49.086,5.287,27.6,13.64,27.79,200.195,
2017,Female,ALB,15 - 64,57.47,498.636,50.16,,,571.278,50.726,,72.642,12.72,994.035,
2017,Female,BIH,15 - 24,23.18,17.51,11.27,5.893,33.7,36.002,10,24.3,18.491,51.36,155.341,
2017,Female,BIH,15 - 64,42.41,294.433,32.3,,,386.491,70.144,,92.058,23.82,911.423,
2017,Female,BIH,15+,32.28,306.779,24.81,80.518,26.2,399.114,70.29,,92.334,23.13,1236.551,
2017,Female,KOS,15 - 24,14.26,8.576,5.2,,,23.522,,,14.946,63.54,164.954,
2017,Female,KOS,15 - 64,19.98,75.515,12.68,,,119.027,,,43.512,36.56,595.722,
2017,Female,KOS,15+,17.2,76.045,10.9,,,119.557,,,43.512,36.4,695.589,
2017,Female,MKD,15 - 24,23.36,15.509,12.01,3.907,25.7,30.165,9.847,26.9,14.656,48.59,129.136,
2017,Female,MKD,15 - 64,51.65,287.823,40.31,,,368.851,63.632,,81.028,21.97,714.108,
2017,Female,MKD,15+,42.72,290.378,33.4,41.473,14.4,371.428,63.632,,81.05,21.82,869.404,
2017,Female,MNE,15 - 24,27.78,7.719,18.59,,,11.531,2.518,17.1,3.813,33.06,41.514,
2017,Female,MNE,15 - 64,56.5,98.5,46.8,,,119,14.3,,19.6,17.2,210.7,
2017,Female,SRB,15 - 24,24.07,55.04,15.33,15.843,28.8,86.447,11.841,17.7,31.407,36.33,359.149,
